"HOUSEHOLD DATA
ANNUAL AVERAGES
39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2024,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
Medical records specialists,203,"1,053",16,–,187,"1,062"
"Opticians, dispensing",36,–,8,–,28,–
Miscellaneous health technologists and technicians,124,"1,162",34,–,89,"1,069"
Other healthcare practitioners and technical occupations,118,"1,346",33,–,86,"1,341"
,,,,,,
Service occupations,"15,707",758,"7,549",834,"8,158",713
Healthcare support occupations,"3,622",753,632,841,"2,990",741
Home health aides,396,709,62,765,334,696
Personal care aides,"1,004",713,237,739,766,707
Nursing assistants,971,755,121,850,849,743
Orderlies and psychiatric aides,41,–,16,–,24,–
Occupational therapy assistants and aides,16,–,1,–,15,–
Physical therapist assistants and aides,64,951,21,–,42,–
Massage therapists,47,–,16,–,31,–
Dental assistants,206,819,15,–,191,806
Medical assistants,539,792,48,–,490,779
Medical transcriptionists,23,–,8,–,15,–
Pharmacy aides,31,–,7,–,23,–
Veterinary assistants and laboratory animal caretakers,35,–,7,–,29,–
Phlebotomists,81,738,5,–,76,731
Other healthcare support workers,169,893,66,"1,037",103,822
Protective service occupations,"2,621","1,109","1,995","1,187",626,906
First-line supervisors of correctional officers,40,–,23,–,17,–
First-line supervisors of police and detectives,102,"1,859",88,"1,878",14,–
First-line supervisors of firefighting and prevention workers,46,–,42,–,3,–
First-line supervisors of security workers,67,"1,200",47,–,20,–
"First-line supervisors of protective service workers, all other",0,–,0,–,0,–
Firefighters,275,"1,438",259,"1,470",15,–
Fire inspectors,17,–,15,–,2,–
Bailiffs,14,–,14,–,0,–
Correctional officers and jailers,295,990,191,"1,048",104,897
Detectives and criminal investigators,152,"1,800",108,"1,879",45,–
Fish and game wardens,7,–,7,–,0,–
Parking enforcement workers,3,–,2,–,2,–
Police officers,624,"1,458",535,"1,494",89,"1,221"
Animal control workers,1,–,1,–,0,–
Private detectives and investigators,116,"1,307",62,"1,308",54,"1,305"
Security guards and gambling surveillance officers,735,768,533,792,202,718
Crossing guards and flaggers,26,–,14,–,12,–
Transportation security screeners,41,–,21,–,20,–
School bus monitors,4,–,2,–,3,–
Other protective service workers,56,813,32,–,24,–
Food preparation and serving related occupations,"4,200",689,"2,123",717,"2,078",653
Chefs and head cooks,437,863,342,909,94,784
First-line supervisors of food preparation and serving workers,331,817,141,893,190,803
Cooks,"1,230",671,738,694,492,617
Food preparation workers,472,648,208,662,265,638
Bartenders,250,764,124,829,127,719
Fast food and counter workers,263,623,89,676,174,613
Waiters and waitresses,752,664,264,698,489,642
"Food servers, nonrestaurant",139,693,51,823,88,635
Dining room and cafeteria attendants and bartender helpers,119,691,59,722,60,615
Dishwashers,133,636,95,629,38,–
"Hosts and hostesses, restaurant, lounge, and coffee shop",68,609,10,–,58,605
"Food preparation and serving related workers, all other",6,–,3,–,3,–
Building and grounds cleaning and maintenance occupations,"3,634",729,"2,331",780,"1,302",674
First-line supervisors of housekeeping and janitorial workers,174,"1,007",110,"1,117",64,837
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",107,"1,071",104,"1,074",3,–
Janitors and building cleaners,"1,569",727,"1,085",779,484,651
Maids and housekeeping cleaners,799,678,106,710,692,674
Pest control workers,102,897,93,906,10,–
Landscaping and groundskeeping workers,788,714,749,718,39,–
Tree trimmers and pruners,77,899,75,894,1,–
Other grounds maintenance workers,17,–,9,–,8,–
Personal care and service occupations,"1,631",757,468,880,"1,162",725
Supervisors of personal care and service workers,82,982,33,–,49,–
Animal trainers,30,–,7,–,23,–
Animal caretakers,145,718,38,–,107,707
Gambling services workers,58,"1,009",30,–,28,–
"Ushers, lobby attendants, and ticket takers",14,–,3,–,11,–
Other entertainment attendants and related workers,76,707,43,–,32,–
"Embalmers, crematory operators, and funeral attendants",8,–,5,–,3,–
"Morticians, undertakers, and funeral arrangers",28,–,16,–,12,–
Barbers,39,–,32,–,7,–
"Hairdressers, hairstylists, and cosmetologists",221,771,35,–,186,762
Manicurists and pedicurists,171,750,34,–,137,717
Skincare specialists,40,–,4,–,35,–
Other personal appearance workers,9,–,2,–,7,–
"Baggage porters, bellhops, and concierges",61,816,44,–,17,–
Tour and travel guides,25,–,15,–,10,–
Childcare workers,380,693,21,–,359,695
Exercise trainers and group fitness instructors,65,805,44,–,21,–
Recreation workers,108,730,33,–,75,712
Residential advisors,17,–,5,–,11,–
"Personal care and service workers, all other",57,755,24,–,32,–
,,,,,,
Sales and office occupations,"21,066",964,"8,599","1,156","12,467",894
Sales and related occupations,"8,895","1,046","5,021","1,264","3,873",880
First-line supervisors of retail sales workers,"2,069","1,022","1,161","1,152",908,903
First-line supervisors of non-retail sales workers,841,"1,418",512,"1,562",329,"1,117"
Cashiers,"1,066",633,326,684,740,616
Counter and rental clerks,47,–,28,–,19,–
Parts salespersons,98,863,75,927,23,–
Retail salespersons,"1,585",884,955,988,630,765
Advertising sales agents,113,"1,650",52,"2,099",61,"1,636"
Insurance sales agents,435,"1,132",190,"1,414",245,966
"Securities, commodities, and financial services sales agents",201,"2,082",144,"2,305",58,"1,225"
Travel agents,58,"1,093",9,–,49,–
"Sales representatives of services, except advertising, insurance, financial services, and travel",617,"1,449",421,"1,543",196,"1,159"
"Sales representatives, wholesale and manufacturing",991,"1,569",769,"1,652",222,"1,201"
"Models, demonstrators, and product promoters",19,–,5,–,14,–
Real estate brokers and sales agents,398,"1,392",170,"1,743",228,"1,147"
Sales engineers,38,–,36,–,2,–
Telemarketers,20,–,12,–,8,–
"Door-to-door sales workers, news and street vendors, and related workers",24,–,19,–,5,–
"Sales and related workers, all other",275,"1,060",138,"1,139",137,934
Office and administrative support occupations,"12,171",925,"3,578","1,054","8,593",898
First-line supervisors of office and administrative support workers,"1,072","1,161",374,"1,358",698,"1,089"
"Switchboard operators, including answering service",7,–,1,–,7,–
Telephone operators,6,–,0,–,5,–
"Communications equipment operators, all other",7,–,2,–,5,–
Bill and account collectors,100,982,27,–,72,937
Billing and posting clerks,338,870,36,–,301,873
"Bookkeeping, accounting, and auditing clerks",778,962,138,"1,154",640,936
Gambling cage workers,17,–,2,–,15,–
Payroll and timekeeping clerks,108,963,10,–,98,949
Procurement clerks,48,–,34,–,14,–
Tellers,173,763,31,–,142,765
"Financial clerks, all other",131,"1,119",45,–,87,982
Brokerage clerks,2,–,0,–,2,–
Correspondence clerks,3,–,1,–,2,–
"Court, municipal, and license clerks",66,971,10,–,55,899
"Credit authorizers, checkers, and clerks",20,–,2,–,18,–
Customer service representatives,"1,936",868,651,936,"1,284",836
"Eligibility interviewers, government programs",77,"1,000",23,–,54,955
File Clerks,103,895,21,–,81,887
"Hotel, motel, and resort desk clerks",64,737,17,–,47,–
"Interviewers, except eligibility and loan",172,890,38,–,134,878
"Library assistants, clerical",25,–,7,–,19,–
Loan interviewers and clerks,106,"1,002",27,–,79,928
New accounts clerks,14,–,1,–,13,–
Order clerks,62,885,32,–,30,–
"Human resources assistants, except payroll and timekeeping",78,"1,077",13,–,64,"1,007"
Receptionists and information clerks,821,767,101,900,721,756
Reservation and transportation ticket agents and travel clerks,89,937,51,874,38,–
"Information and record clerks, all other",98,815,20,–,77,803
Cargo and freight agents,12,–,7,–,5,–
Couriers and messengers,464,890,358,931,106,775
Public safety telecommunicators,74,"1,140",29,–,45,–
"Dispatchers, except police, fire, and ambulance",137,958,60,"1,026",77,926
"Meter readers, utilities",12,–,10,–,2,–
Postal service clerks,81,"1,041",38,–,43,–
Postal service mail carriers,296,"1,218",203,"1,241",93,"1,164"
"Postal service mail sorters, processors, and processing machine operators",43,–,21,–,22,–
"Production, planning, and expediting clerks",219,"1,274",114,"1,386",105,"1,164"
"Shipping, receiving, and inventory clerks",530,853,361,888,169,788
"Weighers, measurers, checkers, and samplers, recordkeeping",56,906,23,–,33,–
Executive secretaries and executive administrative assistants,222,"1,272",10,–,212,"1,267"
Legal secretaries and administrative assistants,36,–,3,–,33,–
Medical secretaries and administrative assistants,64,880,3,–,61,886
"Secretaries and administrative assistants, except legal, medical, and executive","1,380",930,140,"1,090","1,240",918
Data entry keyers,179,923,49,–,130,886
Word processors and typists,43,–,8,–,35,–
Desktop publishers,0,–,0,–,0,–
Insurance claims and policy processing clerks,271,891,54,986,218,882
"Mail clerks and mail machine operators, except postal service",34,–,20,–,13,–
"Office clerks, general",905,877,187,"1,003",717,847
"Office machine operators, except computer",18,–,8,–,11,–
Proofreaders and copy markers,9,–,1,–,7,–
Statistical assistants,13,–,8,–,5,–
"Office and administrative support workers, all other",556,"1,012",145,"1,072",411,999
,,,,,,
"Natural resources, construction, and maintenance occupations","11,387","1,042","10,821","1,067",566,800
"Farming, fishing, and forestry occupations",717,716,559,733,158,684
"First-line supervisors of farming, fishing, and forestry workers",46,–,40,–,6,–
Agricultural inspectors,16,–,11,–,5,–
Animal breeders,6,–,6,–,0,–
"Graders and sorters, agricultural products",51,693,15,–,36,–
Miscellaneous agricultural workers,556,705,447,716,109,678
Fishing and hunting workers,7,–,7,–,0,–
Forest and conservation workers,10,–,9,–,1,–
Logging workers,25,–,23,–,1,–
Construction and extraction occupations,"6,518","1,017","6,284","1,022",235,853
First-line supervisors of construction trades and extraction workers,600,"1,390",561,"1,400",39,–
Boilermakers,7,–,7,–,0,–
"Brickmasons, blockmasons, and stonemasons",91,"1,037",87,"1,069",3,–
Carpenters,833,929,812,941,21,–
"Carpet, floor, and tile installers and finishers",84,981,83,982,1,–
"Cement masons, concrete finishers, and terrazzo workers",50,"1,001",50,999,1,–
Construction laborers,"1,602",899,"1,555",902,47,–
Construction equipment operators,372,"1,099",363,"1,097",8,–
"Drywall installers, ceiling tile installers, and tapers",100,817,97,815,3,–
Electricians,877,"1,214",857,"1,218",20,–
Glaziers,23,–,23,–,0,–
Insulation workers,35,–,31,–,3,–
Painters and paperhangers,340,814,319,825,21,–
Pipelayers,45,–,45,–,0,–
"Plumbers, pipefitters, and steamfitters",567,"1,126",549,"1,125",18,–
Plasterers and stucco masons,25,–,25,–,0,–
Reinforcing iron and rebar workers,7,–,7,–,0,–
Roofers,200,846,193,861,7,–
Sheet metal workers,108,"1,056",101,"1,038",7,–
Structural iron and steel workers,34,–,33,–,2,–
Solar photovoltaic installers,21,–,21,–,0,–
"Helpers, construction trades",46,–,40,–,6,–
Construction and building inspectors,94,"1,212",84,"1,216",11,–
Elevator and escalator installers and repairers,28,–,28,–,0,–
Fence erectors,27,–,27,–,0,–
Hazardous materials removal workers,35,–,24,–,11,–
Highway maintenance workers,72,"1,109",70,"1,121",2,–
Rail-track laying and maintenance equipment operators,14,–,14,–,0,–
Septic tank servicers and sewer pipe cleaners,8,–,8,–,0,–
Miscellaneous construction and related workers,24,–,22,–,2,–
"Derrick, rotary drill, and service unit operators, oil and gas",21,–,20,–,1,–
"Excavating and loading machine and dragline operators, surface mining",4,–,4,–,0,–
"Earth drillers, except oil and gas",36,–,36,–,0,–
"Explosives workers, ordnance handling experts, and blasters",13,–,13,–,0,–
Underground mining machine operators,29,–,29,–,0,–
"Roustabouts, oil and gas",9,–,8,–,0,–
Other extraction workers,40,–,40,–,1,–
"Installation, maintenance, and repair occupations","4,152","1,150","3,978","1,163",174,922
